,Car Make,Probability,Alt1,Alt2
3366,Ford F-450 Super Duty Crew Cab 2012,61.7,Chevrolet Avalanche Crew Cab 2012,Audi RS 4 Convertible 2008
3367,Hyundai Genesis Sedan 2012,21.3,Hyundai Azera Sedan 2012,Mitsubishi Lancer Sedan 2012
3368,Daewoo Nubira Wagon 2002,62.4,Honda Odyssey Minivan 2007,Plymouth Neon Coupe 1999
3369,Chevrolet Silverado 2500HD Regular Cab 2012,41.1,Dodge Ram Pickup 3500 Crew Cab 2010,GMC Canyon Extended Cab 2012
3370,Suzuki Aerio Sedan 2007,45.2,Volkswagen Golf Hatchback 2012,Hyundai Sonata Hybrid Sedan 2012
3371,Mercedes-Benz Sprinter Van 2012,31.1,Daewoo Nubira Wagon 2002,Dodge Sprinter Cargo Van 2009
3372,AM General Hummer SUV 2000,32.7,GMC Acadia SUV 2012,Volvo XC90 SUV 2007
3373,Daewoo Nubira Wagon 2002,67.4,Hyundai Azera Sedan 2012,Suzuki Kizashi Sedan 2012
3374,Hyundai Azera Sedan 2012,41.1,Hyundai Veracruz SUV 2012,Ford Edge SUV 2012
3375,FIAT 500 Abarth 2012,64.4,Audi S4 Sedan 2007,Nissan NV Passenger Van 2012
3376,AM General Hummer SUV 2000,80.4,Jeep Patriot SUV 2012,Ford GT Coupe 2006
3377,BMW 3 Series Sedan 2012,90.0,Spyker C8 Coupe 2009,Volvo C30 Hatchback 2012
3378,Aston Martin V8 Vantage Convertible 2012,57.3,Hyundai Genesis Sedan 2012,Chevrolet Corvette ZR1 2012
3379,Chevrolet HHR SS 2010,42.5,Volvo C30 Hatchback 2012,Hyundai Elantra Touring Hatchback 2012
3380,Honda Odyssey Minivan 2012,72.8,Honda Odyssey Minivan 2007,Audi S4 Sedan 2007
3381,Land Rover Range Rover SUV 2012,58.4,Volvo XC90 SUV 2007,Mercedes-Benz S-Class Sedan 2012
3382,Hyundai Elantra Touring Hatchback 2012,52.3,Honda Accord Coupe 2012,Volkswagen Golf Hatchback 2012
3383,Mercedes-Benz Sprinter Van 2012,69.2,Dodge Sprinter Cargo Van 2009,smart fortwo Convertible 2012
3384,Dodge Challenger SRT8 2011,53.3,Mercedes-Benz E-Class Sedan 2012,Suzuki SX4 Hatchback 2012
3385,Rolls-Royce Phantom Sedan 2012,39.6,Bentley Mulsanne Sedan 2011,Audi TTS Coupe 2012
3386,Toyota Corolla Sedan 2012,21.6,Chevrolet Monte Carlo Coupe 2007,Dodge Magnum Wagon 2008
3387,Aston Martin V8 Vantage Convertible 2012,20.8,Aston Martin V8 Vantage Coupe 2012,Dodge Challenger SRT8 2011
3388,Chevrolet Corvette ZR1 2012,65.2,Audi S4 Sedan 2012,Hyundai Veloster Hatchback 2012
3389,Dodge Sprinter Cargo Van 2009,30.4,Chrysler Aspen SUV 2009,GMC Canyon Extended Cab 2012
3390,Audi S4 Sedan 2012,48.6,Spyker C8 Coupe 2009,Spyker C8 Convertible 2009
3391,Chevrolet Avalanche Crew Cab 2012,87.8,Chevrolet Monte Carlo Coupe 2007,Fisker Karma Sedan 2012
3392,Dodge Caravan Minivan 1997,44.0,Daewoo Nubira Wagon 2002,Plymouth Neon Coupe 1999
3393,Hyundai Genesis Sedan 2012,49.3,Bentley Arnage Sedan 2009,BMW M5 Sedan 2010
3394,Dodge Caliber Wagon 2012,27.8,Chrysler Town and Country Minivan 2012,Hyundai Santa Fe SUV 2012
3395,Audi RS 4 Convertible 2008,91.5,Dodge Charger Sedan 2012,Bentley Mulsanne Sedan 2011
3396,Aston Martin V8 Vantage Coupe 2012,31.7,Bentley Arnage Sedan 2009,Audi S4 Sedan 2012
3397,Bugatti Veyron 16.4 Coupe 2009,51.1,Spyker C8 Coupe 2009,Audi S4 Sedan 2012
3398,GMC Acadia SUV 2012,28.7,Volvo XC90 SUV 2007,Chevrolet Sonic Sedan 2012
3399,Hyundai Tucson SUV 2012,51.5,Ford Freestar Minivan 2007,Audi V8 Sedan 1994
3400,Volvo C30 Hatchback 2012,50.1,FIAT 500 Abarth 2012,Mercedes-Benz E-Class Sedan 2012
3401,Volkswagen Golf Hatchback 2012,96.0,Ford E-Series Wagon Van 2012,GMC Savana Van 2012
3402,Volvo 240 Sedan 1993,36.5,Dodge Caliber Wagon 2007,BMW 3 Series Sedan 2012
3403,Infiniti G Coupe IPL 2012,33.4,Mitsubishi Lancer Sedan 2012,Hyundai Elantra Touring Hatchback 2012
3404,Aston Martin V8 Vantage Convertible 2012,17.5,Dodge Charger SRT-8 2009,Jeep Grand Cherokee SUV 2012
3405,Volvo 240 Sedan 1993,20.7,Audi S5 Convertible 2012,Aston Martin Virage Convertible 2012
3406,Chevrolet Monte Carlo Coupe 2007,17.4,Hyundai Sonata Sedan 2012,Chrysler 300 SRT-8 2010
3407,Volvo XC90 SUV 2007,45.3,Jeep Compass SUV 2012,Mercedes-Benz E-Class Sedan 2012
3408,Lamborghini Reventon Coupe 2008,49.4,Bugatti Veyron 16.4 Convertible 2009,Aston Martin Virage Convertible 2012
3409,Mercedes-Benz 300-Class Convertible 1993,41.1,Dodge Charger SRT-8 2009,Hyundai Tucson SUV 2012
3410,Honda Accord Coupe 2012,94.3,Scion xD Hatchback 2012,Dodge Charger Sedan 2012
3411,Ford E-Series Wagon Van 2012,61.5,Daewoo Nubira Wagon 2002,Spyker C8 Coupe 2009
3412,Audi 100 Sedan 1994,53.7,Dodge Caravan Minivan 1997,Audi V8 Sedan 1994
3413,BMW X6 SUV 2012,36.1,Suzuki SX4 Sedan 2012,FIAT 500 Abarth 2012
3414,Audi RS 4 Convertible 2008,53.1,AM General Hummer SUV 2000,Audi S4 Sedan 2007
3415,Honda Odyssey Minivan 2012,53.5,Dodge Durango SUV 2012,GMC Acadia SUV 2012
3416,Mercedes-Benz Sprinter Van 2012,36.0,Suzuki SX4 Hatchback 2012,Ram C/V Cargo Van Minivan 2012
3417,Mercedes-Benz E-Class Sedan 2012,71.8,Land Rover Range Rover SUV 2012,Audi S5 Coupe 2012
3418,Dodge Caravan Minivan 1997,67.0,Suzuki SX4 Hatchback 2012,Audi 100 Wagon 1994
3419,Audi S5 Coupe 2012,14.6,BMW X3 SUV 2012,Daewoo Nubira Wagon 2002
3420,Chevrolet Sonic Sedan 2012,33.4,Ford Edge SUV 2012,Daewoo Nubira Wagon 2002
3421,Ford Focus Sedan 2007,57.6,Hyundai Elantra Touring Hatchback 2012,Ford Fiesta Sedan 2012
3422,Audi S4 Sedan 2007,45.6,Nissan NV Passenger Van 2012,Hyundai Azera Sedan 2012
3423,Toyota 4Runner SUV 2012,84.7,Ford F-150 Regular Cab 2012,GMC Acadia SUV 2012
3424,Nissan Juke Hatchback 2012,35.4,Dodge Charger SRT-8 2009,Dodge Durango SUV 2012
3425,Dodge Durango SUV 2012,94.4,Bentley Arnage Sedan 2009,Land Rover Range Rover SUV 2012
3426,Honda Odyssey Minivan 2012,37.6,Daewoo Nubira Wagon 2002,Suzuki SX4 Sedan 2012
3427,Dodge Caliber Wagon 2012,50.3,HUMMER H3T Crew Cab 2010,Chevrolet Silverado 2500HD Regular Cab 2012
3428,Mercedes-Benz E-Class Sedan 2012,53.9,Suzuki SX4 Hatchback 2012,Mercedes-Benz C-Class Sedan 2012
3429,FIAT 500 Abarth 2012,42.7,Infiniti G Coupe IPL 2012,Chrysler 300 SRT-8 2010
3430,Hyundai Azera Sedan 2012,33.4,Audi S4 Sedan 2007,Mercedes-Benz E-Class Sedan 2012
3431,AM General Hummer SUV 2000,94.9,Bentley Arnage Sedan 2009,GMC Acadia SUV 2012
3432,Hyundai Genesis Sedan 2012,36.9,Mercedes-Benz Sprinter Van 2012,Mercedes-Benz SL-Class Coupe 2009
3433,Honda Accord Coupe 2012,91.0,Nissan 240SX Coupe 1998,Chevrolet Malibu Hybrid Sedan 2010
3434,Dodge Caliber Wagon 2012,19.4,Chevrolet HHR SS 2010,Chevrolet Monte Carlo Coupe 2007
3435,Ford GT Coupe 2006,42.9,Hyundai Veloster Hatchback 2012,Audi TT Hatchback 2011
3436,Chevrolet Camaro Convertible 2012,48.3,Chevrolet Monte Carlo Coupe 2007,Chrysler Sebring Convertible 2010
3437,Daewoo Nubira Wagon 2002,74.3,Spyker C8 Coupe 2009,Nissan NV Passenger Van 2012
3438,Dodge Durango SUV 2012,90.7,Nissan NV Passenger Van 2012,Infiniti QX56 SUV 2011
3439,Chevrolet Monte Carlo Coupe 2007,70.7,Mazda Tribute SUV 2011,Mercedes-Benz 300-Class Convertible 1993
3440,Spyker C8 Coupe 2009,36.4,FIAT 500 Abarth 2012,BMW 1 Series Coupe 2012
3441,Honda Accord Sedan 2012,86.9,Hyundai Elantra Sedan 2007,Hyundai Elantra Touring Hatchback 2012
3442,Audi 100 Sedan 1994,48.1,Audi TTS Coupe 2012,Aston Martin V8 Vantage Coupe 2012
3443,Bugatti Veyron 16.4 Convertible 2009,75.3,Daewoo Nubira Wagon 2002,Aston Martin V8 Vantage Convertible 2012
3444,Dodge Ram Pickup 3500 Quad Cab 2009,83.2,Dodge Durango SUV 2012,Cadillac Escalade EXT Crew Cab 2007
3445,Lamborghini Diablo Coupe 2001,51.1,Hyundai Veloster Hatchback 2012,Ferrari 458 Italia Coupe 2012
3446,Geo Metro Convertible 1993,35.3,Mercedes-Benz Sprinter Van 2012,Hyundai Veloster Hatchback 2012
3447,Ford Fiesta Sedan 2012,27.5,Hyundai Accent Sedan 2012,Scion xD Hatchback 2012
3448,Dodge Dakota Club Cab 2007,47.0,Dodge Dakota Crew Cab 2010,Ford Ranger SuperCab 2011
3449,Spyker C8 Coupe 2009,23.1,Spyker C8 Convertible 2009,Ferrari 458 Italia Convertible 2012
3450,McLaren MP4-12C Coupe 2012,61.1,Volvo C30 Hatchback 2012,BMW M5 Sedan 2010
3451,Jeep Compass SUV 2012,91.2,Tesla Model S Sedan 2012,Volvo 240 Sedan 1993
3452,Suzuki SX4 Sedan 2012,42.8,Audi S4 Sedan 2007,Porsche Panamera Sedan 2012
3453,Chevrolet Express Cargo Van 2007,60.7,Dodge Challenger SRT8 2011,Volvo 240 Sedan 1993
3454,Suzuki SX4 Hatchback 2012,64.7,Mitsubishi Lancer Sedan 2012,Audi S5 Coupe 2012
3455,Plymouth Neon Coupe 1999,20.5,Nissan 240SX Coupe 1998,Bentley Continental GT Coupe 2007
3456,Chevrolet Corvette ZR1 2012,39.2,BMW 6 Series Convertible 2007,Audi RS 4 Convertible 2008
3457,Dodge Caliber Wagon 2007,18.6,Hyundai Veloster Hatchback 2012,Volvo C30 Hatchback 2012
3458,Audi S4 Sedan 2012,28.8,Hyundai Veloster Hatchback 2012,Audi TT Hatchback 2011
3459,AM General Hummer SUV 2000,92.5,GMC Acadia SUV 2012,Audi V8 Sedan 1994
3460,Hyundai Genesis Sedan 2012,52.5,Audi TTS Coupe 2012,Rolls-Royce Phantom Sedan 2012
3461,Chrysler PT Cruiser Convertible 2008,94.7,Nissan NV Passenger Van 2012,Tesla Model S Sedan 2012
3462,Hyundai Veloster Hatchback 2012,23.6,Spyker C8 Convertible 2009,Spyker C8 Coupe 2009
3463,Bentley Arnage Sedan 2009,36.2,Aston Martin V8 Vantage Convertible 2012,Aston Martin Virage Convertible 2012
3464,Ford Edge SUV 2012,29.3,Chrysler Town and Country Minivan 2012,Audi S5 Coupe 2012
3465,Spyker C8 Coupe 2009,25.7,Audi S6 Sedan 2011,Volvo C30 Hatchback 2012
3466,Spyker C8 Coupe 2009,55.4,Hyundai Tucson SUV 2012,Chevrolet Corvette Ron Fellows Edition Z06 2007
3467,Aston Martin V8 Vantage Convertible 2012,61.1,Aston Martin V8 Vantage Coupe 2012,Audi TT Hatchback 2011
3468,Mercedes-Benz E-Class Sedan 2012,90.6,Audi S4 Sedan 2012,Suzuki SX4 Hatchback 2012
3469,Spyker C8 Coupe 2009,97.4,Cadillac CTS-V Sedan 2012,Chevrolet Corvette Ron Fellows Edition Z06 2007
3470,Isuzu Ascender SUV 2008,65.3,Toyota Sequoia SUV 2012,Cadillac Escalade EXT Crew Cab 2007
3471,Chevrolet Corvette ZR1 2012,24.2,Chrysler 300 SRT-8 2010,Audi TTS Coupe 2012
3472,Mercedes-Benz S-Class Sedan 2012,87.0,Aston Martin Virage Convertible 2012,Infiniti G Coupe IPL 2012
3473,Spyker C8 Coupe 2009,50.1,BMW 1 Series Convertible 2012,Ford Mustang Convertible 2007
3474,Volvo 240 Sedan 1993,65.7,Land Rover LR2 SUV 2012,Jeep Compass SUV 2012
3475,AM General Hummer SUV 2000,62.6,Chevrolet Avalanche Crew Cab 2012,GMC Canyon Extended Cab 2012
3476,Infiniti G Coupe IPL 2012,27.7,Chevrolet Sonic Sedan 2012,Acura TL Sedan 2012
3477,Audi 100 Wagon 1994,97.5,BMW X6 SUV 2012,Buick Rainier SUV 2007
3478,Chrysler 300 SRT-8 2010,82.3,Audi S6 Sedan 2011,Audi R8 Coupe 2012
3479,Suzuki Kizashi Sedan 2012,61.1,Bentley Arnage Sedan 2009,Aston Martin Virage Convertible 2012
3480,Ferrari FF Coupe 2012,50.3,Spyker C8 Coupe 2009,Nissan Leaf Hatchback 2012
3481,Nissan Leaf Hatchback 2012,48.0,BMW 3 Series Wagon 2012,Audi TTS Coupe 2012
3482,smart fortwo Convertible 2012,86.1,FIAT 500 Abarth 2012,Mercedes-Benz E-Class Sedan 2012
3483,Chevrolet Sonic Sedan 2012,50.8,Daewoo Nubira Wagon 2002,Chevrolet Malibu Sedan 2007
3484,Chrysler 300 SRT-8 2010,17.6,Mazda Tribute SUV 2011,Cadillac CTS-V Sedan 2012
3485,BMW X6 SUV 2012,37.8,Chevrolet Silverado 1500 Regular Cab 2012,Ferrari FF Coupe 2012
3486,Ford GT Coupe 2006,63.9,Ferrari California Convertible 2012,Hyundai Veloster Hatchback 2012
3487,Honda Odyssey Minivan 2012,16.3,Dodge Sprinter Cargo Van 2009,Hyundai Azera Sedan 2012
3488,HUMMER H2 SUT Crew Cab 2009,29.2,Lamborghini Gallardo LP 570-4 Superleggera 2012,AM General Hummer SUV 2000
3489,Volkswagen Golf Hatchback 1991,60.0,Dodge Caliber Wagon 2012,Audi S4 Sedan 2007
3490,Aston Martin V8 Vantage Convertible 2012,42.1,Mercedes-Benz SL-Class Coupe 2009,Bentley Arnage Sedan 2009
3491,Hyundai Veloster Hatchback 2012,53.1,Audi S5 Coupe 2012,Nissan 240SX Coupe 1998
3492,Suzuki SX4 Hatchback 2012,53.6,Acura TL Sedan 2012,Suzuki SX4 Sedan 2012
3493,Bugatti Veyron 16.4 Convertible 2009,29.0,Lamborghini Aventador Coupe 2012,Cadillac CTS-V Sedan 2012
3494,Mercedes-Benz E-Class Sedan 2012,75.7,Mercedes-Benz S-Class Sedan 2012,Audi S5 Coupe 2012
3495,HUMMER H2 SUT Crew Cab 2009,67.8,Volvo C30 Hatchback 2012,Nissan Juke Hatchback 2012
3496,Toyota 4Runner SUV 2012,58.6,Volvo 240 Sedan 1993,Honda Odyssey Minivan 2012
3497,Chevrolet Sonic Sedan 2012,40.3,Dodge Durango SUV 2012,Honda Odyssey Minivan 2012
3498,Chevrolet Corvette ZR1 2012,31.7,Chevrolet Corvette Ron Fellows Edition Z06 2007,Lamborghini Reventon Coupe 2008
3499,GMC Acadia SUV 2012,44.9,Honda Odyssey Minivan 2012,Volvo XC90 SUV 2007
3500,Dodge Durango SUV 2012,43.3,Rolls-Royce Phantom Sedan 2012,Ford F-450 Super Duty Crew Cab 2012
3501,Hyundai Veloster Hatchback 2012,40.4,BMW M6 Convertible 2010,Spyker C8 Convertible 2009
3502,Aston Martin V8 Vantage Coupe 2012,87.2,Land Rover LR2 SUV 2012,Ferrari 458 Italia Coupe 2012
3503,Dodge Charger Sedan 2012,47.4,Nissan Juke Hatchback 2012,Audi S4 Sedan 2007
3504,BMW M5 Sedan 2010,63.5,BMW X6 SUV 2012,BMW X3 SUV 2012
3505,Chrysler 300 SRT-8 2010,28.9,Nissan 240SX Coupe 1998,Chevrolet Camaro Convertible 2012
3506,Chevrolet Malibu Sedan 2007,22.5,BMW X6 SUV 2012,GMC Acadia SUV 2012
3507,Ferrari FF Coupe 2012,74.4,Audi TTS Coupe 2012,Audi S4 Sedan 2012
3508,FIAT 500 Abarth 2012,23.7,BMW X6 SUV 2012,Jeep Compass SUV 2012
3509,Mercedes-Benz E-Class Sedan 2012,81.6,Volvo XC90 SUV 2007,Dodge Charger Sedan 2012
3510,Ford F-150 Regular Cab 2012,89.3,Mercedes-Benz 300-Class Convertible 1993,Ford Mustang Convertible 2007
3511,Isuzu Ascender SUV 2008,38.4,Hyundai Sonata Sedan 2012,Honda Accord Sedan 2012
3512,Nissan Juke Hatchback 2012,31.5,Jeep Compass SUV 2012,Hyundai Azera Sedan 2012
3513,Mercedes-Benz C-Class Sedan 2012,56.8,Hyundai Azera Sedan 2012,Hyundai Genesis Sedan 2012
3514,Dodge Durango SUV 2007,90.6,Chevrolet Express Van 2007,Nissan NV Passenger Van 2012
3515,GMC Acadia SUV 2012,86.1,Ford Ranger SuperCab 2011,Ford F-150 Regular Cab 2012
3516,Chevrolet Corvette Ron Fellows Edition Z06 2007,12.2,Hyundai Genesis Sedan 2012,Mercedes-Benz S-Class Sedan 2012
3517,Volvo 240 Sedan 1993,18.6,GMC Acadia SUV 2012,Daewoo Nubira Wagon 2002
3518,Dodge Durango SUV 2007,55.9,Dodge Dakota Crew Cab 2010,Dodge Journey SUV 2012
3519,Acura RL Sedan 2012,60.8,Dodge Caliber Wagon 2012,BMW X6 SUV 2012
3520,Audi TT Hatchback 2011,11.3,Audi S6 Sedan 2011,Audi S4 Sedan 2012
3521,Ford Expedition EL SUV 2009,80.6,Chevrolet Silverado 1500 Classic Extended Cab 2007,Chevrolet Avalanche Crew Cab 2012
3522,Bentley Continental Flying Spur Sedan 2007,84.0,Bentley Arnage Sedan 2009,Rolls-Royce Ghost Sedan 2012
3523,FIAT 500 Abarth 2012,96.8,Audi RS 4 Convertible 2008,Chevrolet Corvette ZR1 2012
3524,Hyundai Genesis Sedan 2012,54.7,FIAT 500 Abarth 2012,Mercedes-Benz E-Class Sedan 2012
3525,Lamborghini Aventador Coupe 2012,82.7,Chevrolet Corvette ZR1 2012,McLaren MP4-12C Coupe 2012
3526,Nissan 240SX Coupe 1998,52.3,Chevrolet Impala Sedan 2007,Bentley Mulsanne Sedan 2011
3527,Chrysler 300 SRT-8 2010,73.8,Mercedes-Benz Sprinter Van 2012,Mercedes-Benz C-Class Sedan 2012
3528,Volkswagen Golf Hatchback 1991,46.3,Chevrolet Corvette ZR1 2012,Hyundai Veloster Hatchback 2012
3529,Chevrolet Silverado 1500 Classic Extended Cab 2007,71.1,Chevrolet Silverado 1500 Extended Cab 2012,Ford Expedition EL SUV 2009
3530,Infiniti QX56 SUV 2011,30.7,Chevrolet Silverado 1500 Extended Cab 2012,Ford F-150 Regular Cab 2012
3531,Bentley Arnage Sedan 2009,95.3,Mercedes-Benz E-Class Sedan 2012,Aston Martin V8 Vantage Convertible 2012
3532,Dodge Ram Pickup 3500 Crew Cab 2010,97.1,Ford E-Series Wagon Van 2012,Chevrolet Silverado 1500 Extended Cab 2012
3533,Dodge Durango SUV 2007,41.9,Chrysler 300 SRT-8 2010,Dodge Dakota Club Cab 2007
3534,Ferrari California Convertible 2012,99.9,Aston Martin V8 Vantage Convertible 2012,BMW M3 Coupe 2012
3535,Chevrolet Sonic Sedan 2012,28.1,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,Daewoo Nubira Wagon 2002
3536,Audi S4 Sedan 2007,14.8,Ford Edge SUV 2012,Mercedes-Benz E-Class Sedan 2012
3537,Aston Martin Virage Convertible 2012,29.1,Acura TSX Sedan 2012,Aston Martin V8 Vantage Convertible 2012
3538,Hyundai Azera Sedan 2012,45.0,Mercedes-Benz C-Class Sedan 2012,Mercedes-Benz E-Class Sedan 2012
3539,Dodge Charger SRT-8 2009,94.9,Hyundai Veloster Hatchback 2012,Bugatti Veyron 16.4 Coupe 2009
3540,Chevrolet Silverado 2500HD Regular Cab 2012,52.8,Dodge Ram Pickup 3500 Crew Cab 2010,Audi V8 Sedan 1994
3541,Daewoo Nubira Wagon 2002,43.1,Bentley Arnage Sedan 2009,Mercedes-Benz Sprinter Van 2012
3542,Aston Martin Virage Coupe 2012,27.7,BMW 3 Series Sedan 2012,Hyundai Elantra Touring Hatchback 2012
3543,Ford GT Coupe 2006,66.8,Aston Martin V8 Vantage Convertible 2012,Chevrolet Corvette Ron Fellows Edition Z06 2007
3544,AM General Hummer SUV 2000,84.4,Jeep Patriot SUV 2012,Daewoo Nubira Wagon 2002
3545,Infiniti G Coupe IPL 2012,68.4,Hyundai Genesis Sedan 2012,Mercedes-Benz S-Class Sedan 2012
3546,Volvo XC90 SUV 2007,36.9,Infiniti QX56 SUV 2011,Mercedes-Benz E-Class Sedan 2012
3547,Nissan Leaf Hatchback 2012,59.8,Suzuki Kizashi Sedan 2012,smart fortwo Convertible 2012
3548,Ford Mustang Convertible 2007,95.6,Mercedes-Benz 300-Class Convertible 1993,Plymouth Neon Coupe 1999
3549,Lamborghini Aventador Coupe 2012,91.0,Chevrolet Corvette ZR1 2012,Nissan Juke Hatchback 2012
3550,Infiniti QX56 SUV 2011,57.0,Nissan NV Passenger Van 2012,Suzuki SX4 Sedan 2012
3551,Chrysler 300 SRT-8 2010,22.4,Rolls-Royce Phantom Drophead Coupe Convertible 2012,Bentley Arnage Sedan 2009
3552,Nissan NV Passenger Van 2012,95.6,Mercedes-Benz Sprinter Van 2012,Ram C/V Cargo Van Minivan 2012
3553,Mercedes-Benz C-Class Sedan 2012,79.4,Dodge Durango SUV 2012,Hyundai Veracruz SUV 2012
3554,Audi TT Hatchback 2011,98.6,Audi A5 Coupe 2012,Audi TT RS Coupe 2012
3555,Mercedes-Benz E-Class Sedan 2012,95.0,Daewoo Nubira Wagon 2002,Hyundai Genesis Sedan 2012
3556,Rolls-Royce Phantom Sedan 2012,60.0,smart fortwo Convertible 2012,Ram C/V Cargo Van Minivan 2012
3557,Chevrolet Sonic Sedan 2012,32.0,Hyundai Veracruz SUV 2012,Daewoo Nubira Wagon 2002
3558,Daewoo Nubira Wagon 2002,49.6,Suzuki SX4 Hatchback 2012,Suzuki Aerio Sedan 2007
3559,Lamborghini Diablo Coupe 2001,75.2,BMW Z4 Convertible 2012,Bentley Continental GT Coupe 2007
3560,Hyundai Tucson SUV 2012,18.9,Tesla Model S Sedan 2012,Nissan Leaf Hatchback 2012
3561,Volvo C30 Hatchback 2012,51.0,Chevrolet Monte Carlo Coupe 2007,HUMMER H3T Crew Cab 2010
3562,Hyundai Azera Sedan 2012,21.5,Hyundai Veloster Hatchback 2012,Aston Martin Virage Convertible 2012
3563,Dodge Caliber Wagon 2012,58.2,GMC Yukon Hybrid SUV 2012,Isuzu Ascender SUV 2008
3564,Spyker C8 Convertible 2009,98.6,FIAT 500 Abarth 2012,Mitsubishi Lancer Sedan 2012
3565,Audi S4 Sedan 2007,33.3,BMW M5 Sedan 2010,BMW 3 Series Sedan 2012
3566,Nissan NV Passenger Van 2012,34.8,Hyundai Santa Fe SUV 2012,BMW X5 SUV 2007
3567,Ferrari California Convertible 2012,87.8,Chevrolet Camaro Convertible 2012,Ferrari 458 Italia Convertible 2012
3568,Bugatti Veyron 16.4 Coupe 2009,31.5,Lamborghini Aventador Coupe 2012,MINI Cooper Roadster Convertible 2012
3569,Aston Martin Virage Convertible 2012,24.7,Mercedes-Benz S-Class Sedan 2012,BMW 6 Series Convertible 2007
3570,Hyundai Genesis Sedan 2012,41.0,Spyker C8 Coupe 2009,Mercedes-Benz C-Class Sedan 2012
3571,Mercedes-Benz E-Class Sedan 2012,72.4,GMC Acadia SUV 2012,Chevrolet Sonic Sedan 2012
3572,Hyundai Veloster Hatchback 2012,100.0,Volvo C30 Hatchback 2012,Acura Integra Type R 2001
3573,Hyundai Veracruz SUV 2012,49.3,Cadillac CTS-V Sedan 2012,Chevrolet Sonic Sedan 2012
3574,Chevrolet Silverado 1500 Classic Extended Cab 2007,42.9,Isuzu Ascender SUV 2008,Dodge Ram Pickup 3500 Crew Cab 2010
3575,Audi S4 Sedan 2007,77.0,Chrysler 300 SRT-8 2010,Aston Martin Virage Convertible 2012
3576,Hyundai Elantra Touring Hatchback 2012,19.8,Audi S4 Sedan 2007,Volvo 240 Sedan 1993
3577,Volvo XC90 SUV 2007,40.7,Bentley Arnage Sedan 2009,Audi RS 4 Convertible 2008
3578,Bentley Arnage Sedan 2009,45.5,Dodge Magnum Wagon 2008,Nissan 240SX Coupe 1998
3579,Jaguar XK XKR 2012,24.9,Lamborghini Aventador Coupe 2012,Ford GT Coupe 2006
3580,Bentley Arnage Sedan 2009,74.1,Bentley Mulsanne Sedan 2011,Aston Martin V8 Vantage Convertible 2012
3581,HUMMER H3T Crew Cab 2010,77.4,Dodge Charger Sedan 2012,Chevrolet Silverado 2500HD Regular Cab 2012
3582,Audi S6 Sedan 2011,32.2,Mercedes-Benz S-Class Sedan 2012,Acura TL Sedan 2012
3583,GMC Savana Van 2012,31.2,Audi V8 Sedan 1994,GMC Acadia SUV 2012
3584,Nissan NV Passenger Van 2012,69.6,Lamborghini Aventador Coupe 2012,Rolls-Royce Phantom Sedan 2012
3585,GMC Acadia SUV 2012,46.1,Audi V8 Sedan 1994,Hyundai Tucson SUV 2012
3586,Dodge Durango SUV 2012,78.9,Jeep Compass SUV 2012,Volvo XC90 SUV 2007
3587,Audi 100 Sedan 1994,27.2,Ford Edge SUV 2012,Hyundai Sonata Sedan 2012
3588,Daewoo Nubira Wagon 2002,37.5,Isuzu Ascender SUV 2008,Audi V8 Sedan 1994
3589,Dodge Caliber Wagon 2007,56.5,BMW M5 Sedan 2010,Volvo C30 Hatchback 2012
3590,Chrysler 300 SRT-8 2010,71.6,Mercedes-Benz S-Class Sedan 2012,Audi S4 Sedan 2007
3591,Honda Odyssey Minivan 2012,64.6,Honda Odyssey Minivan 2007,Mitsubishi Lancer Sedan 2012
3592,Acura RL Sedan 2012,29.1,Audi RS 4 Convertible 2008,Dodge Caliber Wagon 2012
3593,smart fortwo Convertible 2012,35.7,Volvo C30 Hatchback 2012,Hyundai Elantra Touring Hatchback 2012
3594,Audi TT Hatchback 2011,40.0,Audi A5 Coupe 2012,Bentley Continental Supersports Conv. Convertible 2012
3595,Spyker C8 Coupe 2009,18.5,Audi S5 Convertible 2012,Volvo C30 Hatchback 2012
3596,Aston Martin V8 Vantage Convertible 2012,37.6,Audi TT Hatchback 2011,Audi A5 Coupe 2012
3597,Audi TT RS Coupe 2012,50.5,Audi R8 Coupe 2012,Chevrolet Camaro Convertible 2012
3598,Nissan NV Passenger Van 2012,53.0,Dodge Ram Pickup 3500 Crew Cab 2010,Ford E-Series Wagon Van 2012
3599,Audi TTS Coupe 2012,21.0,Bentley Arnage Sedan 2009,BMW 3 Series Wagon 2012
3600,FIAT 500 Abarth 2012,94.3,Audi RS 4 Convertible 2008,Audi S4 Sedan 2007
3601,Chrysler 300 SRT-8 2010,76.8,Toyota Sequoia SUV 2012,Infiniti QX56 SUV 2011
3602,Audi S4 Sedan 2007,38.0,Hyundai Veracruz SUV 2012,Hyundai Genesis Sedan 2012
3603,Dodge Caravan Minivan 1997,45.6,Cadillac CTS-V Sedan 2012,Mercedes-Benz 300-Class Convertible 1993
3604,Ram C/V Cargo Van Minivan 2012,44.9,MINI Cooper Roadster Convertible 2012,Tesla Model S Sedan 2012
3605,Aston Martin V8 Vantage Convertible 2012,82.7,Chevrolet Corvette ZR1 2012,Bugatti Veyron 16.4 Coupe 2009
3606,BMW M3 Coupe 2012,68.1,BMW 3 Series Sedan 2012,Hyundai Veloster Hatchback 2012
